Optimal_Trees
Bursera simaruba
Quercus virginiana
Ilex amelanchier
Magnolia grandiflora
Pinus elliottii
Taxodium ascendens
Juniperus virginiana
Pinus radiata
Sabal palmetto
Pinus ponderosa
Pseudotsuga macrocarpa
Pseudotsuga menziesii
Pseudotsuga menziesii var. glauca
Quercus acutissima
Quercus agrifolia
Quercus lobata
Quercus alba
Quercus michauxii
Quercus texana
